genome,sortase_present,sortase_count,lpxtg_present,lpxtg_count,bacteriocin_present,bacteriocin_count,crispr_cas_present,crispr_cas_count,stress_universal_present,stress_universal_count,clp_protease_present,clp_protease_count,phage_resistance_present,phage_resistance_count,amr_present,amr_count,virulence_present,virulence_count,phage_present,phage_count,total_genes
GCF_013307285.1_ASM1330728v1_genomic,1,1.0,1,1.0,1,10.0,1,128.0,1,1.0,1,5.0,1,1.0,1,25.0,1,4.0,1,94.0,2197
GCF_015190465.1_ASM1519046v1_genomic,1,1.0,1,5.0,1,11.0,1,30.0,1,1.0,1,7.0,1,3.0,1,26.0,1,5.0,1,114.0,2283
GCF_017156775.1_ASM1715677v1_genomic,1,1.0,1,2.0,1,6.0,1,85.0,1,1.0,1,5.0,1,1.0,1,25.0,1,3.0,1,46.0,2089
GCF_017359825.1_ASM1735982v1_genomic,1,1.0,1,2.0,1,8.0,1,181.0,1,1.0,1,5.0,1,2.0,1,25.0,1,4.0,1,82.0,2245
GCF_017359885.1_ASM1735988v1_genomic,0,0.0,1,1.0,1,9.0,1,114.0,1,1.0,1,5.0,1,2.0,1,24.0,1,4.0,1,101.0,2241
GCF_017360005.1_ASM1736000v1_genomic,1,1.0,1,1.0,1,9.0,1,96.0,1,1.0,1,6.0,1,1.0,1,24.0,1,5.0,1,118.0,2279
GCF_017360085.1_ASM1736008v1_genomic,1,1.0,1,1.0,1,9.0,1,98.0,1,1.0,1,5.0,1,2.0,1,24.0,1,4.0,1,102.0,2244
GCF_017360165.1_ASM1736016v1_genomic,1,1.0,1,1.0,1,9.0,1,88.0,1,1.0,1,5.0,1,2.0,1,24.0,1,4.0,1,101.0,2228
GCF_017360245.1_ASM1736024v1_genomic,1,1.0,1,2.0,1,9.0,1,144.0,1,1.0,1,5.0,1,2.0,1,25.0,1,4.0,1,87.0,2221
GCF_017360305.1_ASM1736030v1_genomic,1,1.0,1,2.0,1,9.0,1,87.0,1,1.0,1,5.0,1,1.0,1,24.0,1,5.0,1,106.0,2220
GCF_017366965.1_ASM1736696v1_genomic,1,1.0,1,2.0,1,9.0,1,140.0,1,1.0,1,5.0,1,2.0,1,26.0,1,4.0,1,51.0,2150
GCF_017366985.1_ASM1736698v1_genomic,1,1.0,1,3.0,1,9.0,1,154.0,1,1.0,1,5.0,1,2.0,1,25.0,1,5.0,1,91.0,2333
GCF_017367005.1_ASM1736700v1_genomic,1,1.0,1,2.0,1,9.0,1,133.0,1,1.0,1,5.0,1,2.0,1,25.0,1,4.0,1,89.0,2219
GCF_017367015.1_ASM1736701v1_genomic,1,1.0,1,1.0,1,8.0,1,111.0,1,1.0,1,5.0,1,2.0,1,25.0,1,4.0,1,49.0,2144
GCF_017367045.1_ASM1736704v1_genomic,1,1.0,1,2.0,1,9.0,1,117.0,1,1.0,1,5.0,1,2.0,1,26.0,1,4.0,1,59.0,2158
GCF_017367065.1_ASM1736706v1_genomic,1,1.0,1,2.0,1,9.0,1,147.0,1,1.0,1,5.0,1,2.0,1,25.0,1,4.0,1,88.0,2233
GCF_017367085.1_ASM1736708v1_genomic,1,1.0,1,1.0,1,9.0,1,66.0,1,1.0,1,5.0,1,2.0,1,25.0,1,4.0,1,68.0,2149
GCF_017367105.1_ASM1736710v1_genomic,1,1.0,1,1.0,1,9.0,1,109.0,1,1.0,1,5.0,1,1.0,1,25.0,1,5.0,1,62.0,2158
GCF_017367115.1_ASM1736711v1_genomic,1,1.0,1,1.0,1,9.0,1,82.0,1,1.0,1,5.0,1,2.0,1,25.0,1,4.0,1,70.0,2167
GCF_017367165.1_ASM1736716v1_genomic,1,1.0,1,1.0,1,9.0,1,110.0,1,1.0,1,5.0,1,1.0,1,25.0,1,5.0,1,60.0,2128
GCF_017367225.1_ASM1736722v1_genomic,1,1.0,1,2.0,1,9.0,1,136.0,1,1.0,1,5.0,1,2.0,1,25.0,1,6.0,1,86.0,2238
GCF_017367285.1_ASM1736728v1_genomic,1,1.0,1,2.0,1,9.0,1,147.0,1,1.0,1,5.0,1,2.0,1,26.0,1,4.0,1,64.0,2180
GCF_017367305.1_ASM1736730v1_genomic,1,1.0,1,2.0,1,9.0,1,117.0,1,1.0,1,5.0,1,2.0,1,26.0,1,4.0,1,58.0,2153
GCF_017367345.1_ASM1736734v1_genomic,1,1.0,1,2.0,1,9.0,1,112.0,1,1.0,1,5.0,1,2.0,1,26.0,1,4.0,1,64.0,2159
GCF_017584245.1_ASM1758424v1_genomic,1,1.0,1,2.0,1,9.0,1,142.0,1,1.0,1,5.0,1,2.0,1,25.0,1,5.0,1,92.0,2240
GCF_018219175.1_ASM1821917v1_genomic,1,1.0,0,0.0,1,10.0,1,95.0,1,1.0,1,5.0,1,2.0,1,26.0,1,4.0,1,76.0,2189
GCF_018966905.1_ASM1896690v1_genomic,1,1.0,1,1.0,1,10.0,1,136.0,1,1.0,1,4.0,1,1.0,1,25.0,1,4.0,1,44.0,2125
GCF_019449675.1_ASM1944967v1_genomic,1,1.0,1,2.0,1,8.0,1,72.0,1,1.0,1,5.0,1,2.0,1,22.0,1,4.0,1,66.0,2104
GCF_019449715.1_ASM1944971v1_genomic,1,1.0,1,1.0,1,9.0,1,65.0,1,1.0,1,5.0,1,2.0,1,27.0,1,5.0,1,53.0,2114
GCF_019449735.1_ASM1944973v1_genomic,1,1.0,1,1.0,1,11.0,1,104.0,1,1.0,1,5.0,1,2.0,1,25.0,1,5.0,1,58.0,2097
GCF_019449755.1_ASM1944975v1_genomic,1,1.0,1,1.0,1,10.0,1,148.0,1,1.0,1,5.0,1,2.0,1,25.0,1,4.0,1,56.0,2140
GCF_019449765.1_ASM1944976v1_genomic,1,1.0,1,2.0,1,6.0,1,115.0,1,1.0,1,5.0,1,2.0,1,23.0,1,4.0,1,53.0,2103
GCF_019449795.1_ASM1944979v1_genomic,1,1.0,1,2.0,1,10.0,1,58.0,1,1.0,1,5.0,1,1.0,1,25.0,1,4.0,1,46.0,2016
GCF_019449815.1_ASM1944981v1_genomic,1,1.0,1,1.0,1,10.0,1,162.0,1,1.0,1,5.0,1,1.0,1,24.0,1,4.0,1,58.0,2130
GCF_019449835.1_ASM1944983v1_genomic,1,1.0,0,0.0,1,12.0,1,134.0,1,1.0,1,5.0,1,1.0,1,25.0,1,4.0,1,55.0,2107
GCF_019449855.1_ASM1944985v1_genomic,1,1.0,1,1.0,1,8.0,1,120.0,1,1.0,1,5.0,1,1.0,1,24.0,1,4.0,1,54.0,2045
GCF_019449875.1_ASM1944987v1_genomic,1,1.0,0,0.0,1,12.0,1,143.0,1,1.0,1,5.0,1,1.0,1,25.0,1,4.0,1,53.0,2109
GCF_019449885.1_ASM1944988v1_genomic,1,1.0,0,0.0,1,9.0,1,105.0,1,1.0,1,5.0,1,2.0,1,24.0,1,5.0,1,53.0,2086
GCF_019449915.1_ASM1944991v1_genomic,0,0.0,0,0.0,1,5.0,1,55.0,1,1.0,1,5.0,1,1.0,1,24.0,1,4.0,1,55.0,2002
GCF_019449935.1_ASM1944993v1_genomic,1,1.0,1,1.0,1,11.0,1,87.0,1,1.0,1,5.0,1,3.0,1,24.0,1,5.0,1,57.0,2071
GCF_019449955.1_ASM1944995v1_genomic,1,1.0,1,1.0,1,10.0,1,177.0,1,1.0,1,5.0,1,1.0,1,26.0,1,4.0,1,60.0,2159
GCF_019449965.1_ASM1944996v1_genomic,1,1.0,1,4.0,1,15.0,1,51.0,1,1.0,1,5.0,1,1.0,1,28.0,1,6.0,1,72.0,2213
GCF_019449995.1_ASM1944999v1_genomic,1,1.0,1,1.0,1,8.0,1,124.0,1,1.0,1,5.0,1,2.0,1,27.0,1,4.0,1,54.0,2120
GCF_019450015.1_ASM1945001v1_genomic,1,1.0,1,1.0,1,10.0,1,52.0,1,1.0,1,5.0,1,2.0,1,25.0,1,5.0,1,50.0,2038
GCF_019450035.1_ASM1945003v1_genomic,1,1.0,1,1.0,1,11.0,1,182.0,1,1.0,1,5.0,1,1.0,1,24.0,1,4.0,1,52.0,2139
GCF_019450055.1_ASM1945005v1_genomic,1,1.0,1,5.0,1,17.0,1,158.0,1,2.0,1,5.0,1,3.0,1,29.0,1,6.0,1,59.0,2337
GCF_019450065.1_ASM1945006v1_genomic,1,1.0,0,0.0,1,12.0,1,122.0,1,1.0,1,5.0,1,1.0,1,25.0,1,4.0,1,53.0,2089
GCF_019450095.1_ASM1945009v1_genomic,1,1.0,0,0.0,1,8.0,1,72.0,1,1.0,1,5.0,1,4.0,1,26.0,1,4.0,1,59.0,2065
GCF_019450115.1_ASM1945011v1_genomic,1,1.0,1,1.0,1,11.0,1,106.0,1,1.0,1,5.0,1,3.0,1,24.0,1,5.0,1,52.0,2093
GCF_019450135.1_ASM1945013v1_genomic,1,1.0,1,8.0,1,17.0,1,135.0,1,1.0,1,7.0,1,3.0,1,29.0,1,9.0,1,78.0,2419
GCF_019450155.1_ASM1945015v1_genomic,1,1.0,1,1.0,1,11.0,1,106.0,1,1.0,1,5.0,1,2.0,1,26.0,1,4.0,1,65.0,2128
GCF_019972875.1_ASM1997287v1_genomic,1,1.0,1,5.0,1,13.0,1,129.0,1,1.0,1,6.0,1,3.0,1,26.0,1,6.0,1,76.0,2354
GCF_020075875.1_ASM2007587v1_genomic,1,1.0,1,1.0,1,10.0,1,130.0,1,1.0,1,5.0,1,2.0,1,23.0,1,5.0,1,34.0,2013
GCF_020075895.1_ASM2007589v1_genomic,1,1.0,1,1.0,1,10.0,1,88.0,1,1.0,1,5.0,1,1.0,1,25.0,1,4.0,1,30.0,1974
GCF_020075925.1_ASM2007592v1_genomic,1,1.0,1,1.0,1,10.0,1,152.0,1,1.0,1,5.0,1,1.0,1,26.0,1,4.0,1,43.0,2056
GCF_020075945.1_ASM2007594v1_genomic,1,1.0,0,0.0,1,8.0,1,59.0,1,1.0,1,5.0,1,4.0,1,26.0,1,4.0,1,33.0,1973
GCF_020075965.1_ASM2007596v1_genomic,1,1.0,0,0.0,1,8.0,1,68.0,1,1.0,1,5.0,1,4.0,1,26.0,1,4.0,1,39.0,1999
GCF_020075985.1_ASM2007598v1_genomic,1,1.0,0,0.0,1,9.0,1,97.0,1,1.0,1,5.0,1,2.0,1,25.0,1,5.0,1,43.0,2005
GCF_020076005.1_ASM2007600v1_genomic,1,1.0,1,1.0,1,9.0,1,113.0,1,1.0,1,5.0,1,2.0,1,24.0,1,4.0,1,48.0,2089
GCF_020076015.1_ASM2007601v1_genomic,1,1.0,1,1.0,1,10.0,1,142.0,1,1.0,1,5.0,1,2.0,1,26.0,1,5.0,1,34.0,2111
GCF_020076045.1_ASM2007604v1_genomic,1,1.0,0,0.0,1,8.0,1,96.0,1,1.0,1,5.0,1,4.0,1,26.0,1,4.0,1,39.0,2020
GCF_020076065.1_ASM2007606v1_genomic,1,1.0,0,0.0,1,8.0,1,80.0,1,1.0,1,5.0,1,4.0,1,26.0,1,4.0,1,35.0,1994
GCF_020076085.1_ASM2007608v1_genomic,1,1.0,0,0.0,1,9.0,1,141.0,1,1.0,1,5.0,1,2.0,1,25.0,1,5.0,1,38.0,1982
GCF_020076105.1_ASM2007610v1_genomic,1,1.0,0,0.0,1,8.0,1,68.0,1,1.0,1,5.0,1,4.0,1,26.0,1,4.0,1,35.0,1957
GCF_020076115.1_ASM2007611v1_genomic,1,1.0,0,0.0,1,8.0,1,70.0,1,1.0,1,5.0,1,4.0,1,26.0,1,4.0,1,32.0,1993
GCF_020076145.1_ASM2007614v1_genomic,1,1.0,0,0.0,1,8.0,1,68.0,1,1.0,1,5.0,1,4.0,1,26.0,1,4.0,1,36.0,1996
GCF_020076175.1_ASM2007617v1_genomic,1,1.0,1,1.0,1,9.0,1,93.0,1,1.0,1,5.0,1,2.0,1,24.0,1,4.0,1,42.0,2077
GCF_020076365.1_ASM2007636v1_genomic,1,1.0,0,0.0,1,8.0,1,60.0,1,1.0,1,5.0,1,1.0,1,26.0,1,4.0,1,31.0,1856
GCF_020404245.1_ASM2040424v1_genomic,1,1.0,1,1.0,1,12.0,1,109.0,1,1.0,1,5.0,1,2.0,1,26.0,1,4.0,1,51.0,2049
GCF_020404265.1_ASM2040426v1_genomic,1,1.0,1,1.0,1,8.0,1,135.0,1,1.0,1,5.0,1,2.0,1,27.0,1,4.0,1,50.0,2076
GCF_020404275.1_ASM2040427v1_genomic,1,1.0,1,1.0,1,8.0,1,127.0,1,1.0,1,5.0,1,2.0,1,27.0,1,4.0,1,51.0,2069
GCF_020404305.1_ASM2040430v1_genomic,1,1.0,0,0.0,1,12.0,1,82.0,1,1.0,1,5.0,1,2.0,1,26.0,1,4.0,1,55.0,2033
GCF_020404325.1_ASM2040432v1_genomic,1,1.0,0,0.0,1,12.0,1,97.0,1,1.0,1,5.0,1,2.0,1,26.0,1,4.0,1,50.0,2050
GCF_020829055.1_ASM2082905v1_genomic,1,1.0,1,1.0,1,10.0,1,96.0,1,1.0,1,5.0,1,2.0,1,25.0,1,4.0,1,55.0,2068
GCF_020829085.1_ASM2082908v1_genomic,1,1.0,1,1.0,1,10.0,1,124.0,1,1.0,1,5.0,1,1.0,1,25.0,1,4.0,1,56.0,2106
GCF_020829095.1_ASM2082909v1_genomic,1,1.0,1,1.0,1,10.0,1,133.0,1,1.0,1,5.0,1,2.0,1,25.0,1,4.0,1,59.0,2124
GCF_020829125.1_ASM2082912v1_genomic,1,1.0,1,1.0,1,10.0,1,130.0,1,1.0,1,5.0,1,1.0,1,25.0,1,4.0,1,56.0,2109
GCF_020844005.1_ASM2084400v1_genomic,1,1.0,1,1.0,1,10.0,1,95.0,1,1.0,1,5.0,1,2.0,1,24.0,1,4.0,1,87.0,2165
GCF_021229135.1_ASM2122913v1_genomic,1,1.0,1,1.0,1,6.0,1,60.0,1,1.0,1,6.0,1,1.0,1,25.0,1,3.0,1,47.0,2043
GCF_022024355.1_ASM2202435v1_genomic,1,1.0,1,1.0,1,10.0,1,215.0,1,1.0,1,5.0,1,1.0,1,26.0,1,5.0,1,86.0,2357
GCF_022509625.1_ASM2250962v1_genomic,1,1.0,1,2.0,1,9.0,1,112.0,1,1.0,1,5.0,1,2.0,1,26.0,1,4.0,1,64.0,2159
GCF_023006585.1_ASM2300658v1_genomic,1,1.0,1,1.0,1,10.0,1,156.0,1,1.0,1,5.0,1,1.0,1,26.0,1,4.0,1,53.0,2149
GCF_023207975.1_ASM2320797v1_genomic,1,1.0,1,1.0,1,10.0,1,147.0,1,1.0,1,5.0,1,1.0,1,25.0,1,4.0,1,93.0,2215
GCF_023278025.1_ASM2327802v1_genomic,1,1.0,0,0.0,1,9.0,1,111.0,1,1.0,1,5.0,1,2.0,1,24.0,1,5.0,1,93.0,2167
GCF_023893675.1_ASM2389367v1_genomic,1,1.0,1,1.0,1,10.0,1,118.0,1,1.0,1,4.0,1,1.0,1,25.0,1,4.0,1,48.0,2126
GCF_024334065.1_ASM2433406v1_genomic,1,1.0,1,1.0,1,9.0,1,153.0,1,1.0,1,5.0,1,1.0,1,25.0,1,4.0,1,124.0,2272
GCF_024665315.1_ASM2466531v1_genomic,1,1.0,0,0.0,1,8.0,1,78.0,1,1.0,1,5.0,1,4.0,1,26.0,1,4.0,1,91.0,2168
GCF_024731205.1_ASM2473120v1_genomic,1,1.0,1,1.0,1,11.0,1,74.0,1,1.0,1,5.0,1,1.0,1,24.0,1,4.0,1,73.0,2103
GCF_025122495.1_ASM2512249v1_genomic,1,1.0,1,1.0,1,6.0,1,33.0,1,1.0,1,6.0,1,2.0,1,25.0,1,5.0,1,42.0,2005
GCF_025127235.1_ASM2512723v1_genomic,1,1.0,1,1.0,1,9.0,1,103.0,1,1.0,1,5.0,1,4.0,1,25.0,1,4.0,1,49.0,2147
GCF_025127245.1_ASM2512724v1_genomic,1,1.0,1,1.0,1,9.0,1,74.0,1,1.0,1,5.0,1,4.0,1,25.0,1,4.0,1,51.0,2123
GCF_025127255.1_ASM2512725v1_genomic,1,1.0,1,1.0,1,9.0,1,103.0,1,1.0,1,5.0,1,4.0,1,25.0,1,4.0,1,68.0,2207
GCF_025127295.1_ASM2512729v1_genomic,1,1.0,1,1.0,1,10.0,1,96.0,1,1.0,1,5.0,1,1.0,1,26.0,1,4.0,1,28.0,1987
GCF_025129195.1_ASM2512919v1_genomic,1,1.0,1,1.0,1,9.0,1,104.0,1,1.0,1,5.0,1,4.0,1,25.0,1,4.0,1,52.0,2153
GCF_025132835.1_ASM2513283v1_genomic,1,1.0,1,1.0,1,9.0,1,97.0,1,1.0,1,5.0,1,6.0,1,25.0,1,6.0,1,48.0,2181
GCF_025132855.1_ASM2513285v1_genomic,1,1.0,1,1.0,1,9.0,1,104.0,1,1.0,1,5.0,1,4.0,1,25.0,1,4.0,1,49.0,2149
GCF_025132955.1_ASM2513295v1_genomic,1,1.0,0,0.0,1,9.0,1,46.0,1,1.0,1,6.0,1,1.0,1,25.0,1,5.0,1,37.0,2003
GCF_025186385.1_ASM2518638v1_genomic,1,1.0,1,2.0,1,11.0,1,112.0,1,1.0,1,5.0,1,2.0,1,26.0,1,4.0,1,36.0,2055
GCF_025186525.1_ASM2518652v1_genomic,1,1.0,1,1.0,1,7.0,1,71.0,1,1.0,1,5.0,1,1.0,1,25.0,1,2.0,1,31.0,2001
GCF_025186555.1_ASM2518655v1_genomic,0,0.0,0,0.0,1,5.0,1,76.0,1,1.0,1,5.0,1,2.0,1,24.0,1,4.0,1,29.0,1983
GCF_025186565.1_ASM2518656v1_genomic,1,1.0,1,1.0,1,10.0,1,135.0,1,1.0,1,5.0,1,2.0,1,25.0,1,5.0,1,34.0,2129
GCF_025186625.1_ASM2518662v1_genomic,1,1.0,1,1.0,1,10.0,1,136.0,1,1.0,1,5.0,1,2.0,1,25.0,1,5.0,1,34.0,2128
GCF_025186665.1_ASM2518666v1_genomic,1,1.0,1,1.0,1,6.0,1,57.0,1,1.0,1,5.0,1,2.0,1,24.0,1,4.0,1,35.0,2050
GCF_025186725.1_ASM2518672v1_genomic,1,1.0,0,0.0,1,9.0,1,46.0,1,1.0,1,6.0,1,1.0,1,25.0,1,5.0,1,37.0,1993
GCF_025186765.1_ASM2518676v1_genomic,1,1.0,0,0.0,1,9.0,1,126.0,1,1.0,1,5.0,1,2.0,1,25.0,1,5.0,1,41.0,2091
GCF_025186785.1_ASM2518678v1_genomic,1,1.0,1,1.0,1,15.0,1,95.0,1,1.0,1,5.0,1,2.0,1,25.0,1,3.0,1,34.0,2056
GCF_025186805.1_ASM2518680v1_genomic,1,1.0,0,0.0,1,9.0,1,50.0,1,1.0,1,6.0,1,1.0,1,25.0,1,5.0,1,37.0,2008
GCF_025186885.1_ASM2518688v1_genomic,1,1.0,1,1.0,1,10.0,1,80.0,1,1.0,1,5.0,1,2.0,1,26.0,1,4.0,1,49.0,2014
GCF_025186945.1_ASM2518694v1_genomic,0,0.0,0,0.0,1,5.0,1,59.0,1,1.0,1,5.0,1,2.0,1,24.0,1,4.0,1,29.0,1962
GCF_025186965.1_ASM2518696v1_genomic,0,0.0,0,0.0,1,8.0,1,72.0,1,1.0,1,5.0,1,2.0,1,25.0,1,4.0,1,32.0,1985
GCF_025187005.1_ASM2518700v1_genomic,1,1.0,1,1.0,1,10.0,1,136.0,1,1.0,1,5.0,1,1.0,1,25.0,1,4.0,1,41.0,2066
GCF_025187015.1_ASM2518701v1_genomic,0,0.0,0,0.0,1,8.0,1,78.0,1,1.0,1,5.0,1,2.0,1,25.0,1,4.0,1,31.0,1975
GCF_025187085.1_ASM2518708v1_genomic,1,1.0,0,0.0,1,10.0,1,69.0,1,1.0,1,5.0,1,1.0,1,24.0,1,4.0,1,41.0,1995
GCF_025187145.1_ASM2518714v1_genomic,1,1.0,1,1.0,1,4.0,1,91.0,1,1.0,1,5.0,1,1.0,1,26.0,1,4.0,1,29.0,1973
